date,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,National
2021/7/21,66851,37251,33205,12649,15694,3407,2591,2941,174589
2021/7/22,64905,46459,32136,14283,17391,3488,2312,3556,184530
2021/7/23,75652,47503,33367,13480,16655,4071,2071,3631,196430
2021/7/24,70192,44179,31091,13045,15289,3981,544,3521,181842
2021/7/25,40700,28442,14448,7561,9905,2632,886,3102,107676
2021/7/26,23449,21528,6886,5368,8875,2242,360,2228,70936
2021/7/27,71396,48341,27187,11896,16467,3646,2069,4335,185337
2021/7/28,76927,43123,34175,13976,18496,4291,2172,3822,196982
2021/7/29,79319,43603,34736,13770,20088,3655,2631,3668,201470
2021/7/30,83637,45938,35785,13931,20392,4625,2540,3894,210742
2021/7/31,82220,45280,33697,12676,18403,2113,2589,3728,200706
2021/8/1,45761,28288,13563,6259,11770,1194,613,3525,110973
2021/8/2,25958,19507,8141,4394,9527,5488,244,2977,76236
2021/8/3,84623,45236,34704,12612,15942,3298,452,3691,200558
2021/8/4,84545,41767,44275,13386,18866,4929,2392,3787,213947
2021/8/5,83620,45939,47485,15134,19657,2789,3185,4050,221859
2021/8/6,93626,48738,49957,13574,21572,5494,3192,3886,240039
2021/8/7,89499,50115,46047,13097,19357,1530,2201,4213,226059
2021/8/8,58317,32443,22169,8327,13180,1385,1377,3027,140225
2021/8/9,25483,25225,11022,5514,9458,5999,287,3578,86566
2021/8/10,98244,57536,37938,12795,17944,4363,2266,3813,234899
2021/8/11,106592,55469,47451,15262,20056,4695,2503,3936,255964
2021/8/12,105064,61606,46691,15399,22122,4254,2910,4268,262314
2021/8/13,106331,64266,48815,16182,22460,5936,2708,4200,270898
2021/8/14,105595,65193,46421,14317,21404,4267,2626,4979,264802
2021/8/15,65634,42848,24804,8070,14043,3317,387,4073,163176
2021/8/16,119652,0,11598,0,15146,860,5192,47614,163727
2021/8/17,106122,79810,38375,14142,25122,4102,1846,9946,279465
2021/8/18,109550,63740,45592,15662,23825,4782,2590,8128,273869
2021/8/19,132439,68734,50117,17093,29003,4669,3430,3525,309010
2021/8/20,120581,70648,47215,16366,28504,5799,3378,10813,303304
2021/8/21,127264,70698,51286,16954,25568,4511,2888,11355,310524
2021/8/22,79383,49457,30907,9593,18982,3944,1381,2354,196001
2021/8/23,59766,35134,19361,5614,15514,2134,541,1491,139555
2021/8/24,124645,67982,36014,15142,24753,4523,1713,15170,289942
2021/8/25,130784,74099,47283,16718,27706,4975,2385,3241,307191
2021/8/26,142977,79319,52941,18364,26947,5493,2828,6551,335420
2021/8/27,138460,50982,54789,17386,27627,5546,2861,9439,307090
2021/8/28,138694,73938,47310,16756,28044,5294,2243,4051,316330
2021/8/29,68410,85806,30669,9808,17859,4714,1420,2000,220686
2021/8/30,71944,40498,20525,6587,13989,2916,484,1485,158428
2021/8/31,148297,41690,34616,14468,22289,5159,1898,8508,276925
2021/9/1,121170,105018,46359,16904,24545,6345,2445,12046,334832
2021/9/2,139914,81683,48933,16973,27002,5896,2796,7389,330586
2021/9/3,114726,78632,49750,18137,27039,5489,2294,5332,301399
2021/9/4,129258,79351,46663,17824,24466,5407,2258,7048,312275
2021/9/5,94698,51561,31068,9352,17474,4050,962,4430,213595
2021/9/6,58717,44658,0,8744,13190,6210,0,0,49820
2021/9/7,86489,64759,68939,12204,23679,0,11436,73071,339762
2021/9/8,107455,83049,47203,16792,25294,4275,2627,7956,294651
2021/9/9,114063,85605,50370,19629,26474,6039,2679,6509,311368
2021/9/10,121182,86898,49870,18576,26683,6554,2873,6421,319057
2021/9/11,118980,80945,49955,16384,23773,4202,2580,6733,303552
2021/9/12,64125,59682,34800,9841,16181,4660,1041,5479,195809
2021/9/13,37571,44758,23321,7602,13389,182,710,5668,133201
2021/9/14,115752,71013,37034,16543,20624,7157,2110,5943,276176
2021/9/15,103477,76998,45149,16515,22721,6631,1906,10594,283991
2021/9/16,158344,101575,63010,19231,26364,6483,5305,8870,389182
2021/9/17,107258,87003,52045,16698,23776,5934,2335,7092,302141
2021/9/18,140464,90612,51168,17528,22779,5269,2602,7953,338375
2021/9/19,81251,70309,36520,10660,16056,4872,1108,6260,227036
2021/9/20,46133,54587,40567,8564,13455,3049,914,5311,172580
2021/9/21,126700,88400,53868,15716,22274,5317,1700,7193,321168
2021/9/22,129504,92524,48145,17560,25245,5180,2064,11788,332010
2021/9/23,125615,96298,53532,18604,25591,7285,2444,7916,337285
2021/9/24,126728,101878,57703,17921,26577,5752,2464,8773,347796
2021/9/25,140511,60730,51406,17130,25266,5175,2686,8371,311275
2021/9/26,85578,59691,34965,11373,14375,4597,902,7892,219373
2021/9/27,40539,49514,26749,8280,10948,2463,735,6154,145382
2021/9/28,127855,91292,42708,17342,9434,4584,1532,8676,303423
2021/9/29,129124,90066,51680,17598,25739,4856,1473,11394,331930
2021/9/30,114338,84711,51838,18140,26534,4803,2292,6149,308805
2021/10/1,121763,94259,58908,18469,28360,6848,2042,10480,341129
2021/10/2,124439,91450,54515,17428,25425,3884,1782,8794,327717
2021/10/3,64184,72198,35414,10433,19010,1680,888,7582,211389
2021/10/4,29762,50017,27089,8671,15327,805,636,6230,138537
2021/10/5,22152,96337,19251,7107,24494,10048,1508,4845,185742
2021/10/6,140225,95600,50798,20317,26519,5065,1256,11076,350856
2021/10/7,119982,96248,57406,20420,26928,5337,1856,8382,336559
2021/10/8,115924,95301,57030,19882,27730,4668,1746,8340,330621
2021/10/9,121514,97753,51153,19070,28208,5080,1987,6534,331299
2021/10/10,75640,80974,36566,12383,19643,4332,673,6196,236407
2021/10/11,42317,57486,34353,9423,13906,3783,333,4489,166090
2021/10/12,118477,91042,49635,17551,24653,4263,1504,6510,313635
2021/10/13,124384,97303,53358,19681,27639,5720,1533,8509,338127
