date,deaths,vaccines
2020/1/25,0,0
2020/1/26,0,0
2020/1/27,0,0
2020/1/28,0,0
2020/1/29,0,0
2020/1/30,0,0
2020/1/31,0,0
2020/2/1,0,0
2020/2/2,0,0
2020/2/3,0,0
2020/2/4,0,0
2020/2/5,0,0
2020/2/6,0,0
2020/2/7,0,0
2020/2/8,0,0
2020/2/9,0,0
2020/2/10,0,0
2020/2/11,0,0
2020/2/12,0,0
2020/2/13,0,0
2020/2/14,0,0
2020/2/15,0,0
2020/2/16,0,0
2020/2/17,0,0
2020/2/18,0,0
2020/2/19,0,0
2020/2/20,0,0
2020/2/21,0,0
2020/2/22,0,0
2020/2/23,0,0
2020/2/24,0,0
2020/2/25,0,0
2020/2/26,0,0
2020/2/27,0,0
2020/2/28,0,0
2020/2/29,0,0
2020/3/1,1,0
2020/3/2,1,0
2020/3/3,1,0
2020/3/4,2,0
2020/3/5,2,0
2020/3/6,2,0
2020/3/7,2,0
2020/3/8,3,0
2020/3/9,3,0
2020/3/10,3,0
2020/3/11,3,0
2020/3/12,3,0
2020/3/13,4,0
2020/3/14,4,0
2020/3/15,6,0
2020/3/16,6,0
2020/3/17,6,0
2020/3/18,7,0
2020/3/19,7,0
2020/3/20,8,0
2020/3/21,8,0
2020/3/22,8,0
2020/3/23,8,0
2020/3/24,9,0
2020/3/25,10,0
2020/3/26,14,0
2020/3/27,14,0
2020/3/28,15,0
2020/3/29,17,0
2020/3/30,19,0
2020/3/31,20,0
2020/4/1,21,0
2020/4/2,25,0
2020/4/3,29,0
2020/4/4,31,0
2020/4/5,36,0
2020/4/6,41,0
2020/4/7,49,0
2020/4/8,51,0
2020/4/9,52,0
2020/4/10,55,0
2020/4/11,57,0
2020/4/12,60,0
2020/4/13,62,0
2020/4/14,63,0
2020/4/15,64,0
2020/4/16,64,0
2020/4/17,66,0
2020/4/18,69,0
2020/4/19,71,0
2020/4/20,72,0
2020/4/21,72,0
2020/4/22,75,0
2020/4/23,76,0
2020/4/24,79,0
2020/4/25,81,0
2020/4/26,84,0
2020/4/27,84,0
2020/4/28,85,0
2020/4/29,90,0
2020/4/30,92,0
2020/5/1,94,0
2020/5/2,94,0
2020/5/3,96,0
2020/5/4,96,0
2020/5/5,98,0
2020/5/6,98,0
2020/5/7,98,0
2020/5/8,98,0
2020/5/9,98,0
2020/5/10,98,0
2020/5/11,98,0
2020/5/12,98,0
2020/5/13,99,0
2020/5/14,99,0
2020/5/15,99,0
2020/5/16,99,0
2020/5/17,99,0
2020/5/18,100,0
2020/5/19,100,0
2020/5/20,101,0
2020/5/21,101,0
2020/5/22,102,0
2020/5/23,103,0
2020/5/24,103,0
2020/5/25,103,0
2020/5/26,103,0
2020/5/27,103,0
2020/5/28,103,0
2020/5/29,103,0
2020/5/30,103,0
2020/5/31,103,0
2020/6/1,103,0
2020/6/2,103,0
2020/6/3,103,0
2020/6/4,103,0
2020/6/5,103,0
2020/6/6,103,0
2020/6/7,103,0
2020/6/8,103,0
2020/6/9,103,0
2020/6/10,103,0
2020/6/11,103,0
2020/6/12,103,0
2020/6/13,103,0
2020/6/14,103,0
2020/6/15,103,0
2020/6/16,103,0
2020/6/17,103,0
2020/6/18,103,0
2020/6/19,103,0
2020/6/20,103,0
2020/6/21,103,0
2020/6/22,103,0
2020/6/23,103,0
2020/6/24,104,0
2020/6/25,105,0
2020/6/26,105,0
2020/6/27,105,0
2020/6/28,105,0
2020/6/29,105,0
2020/6/30,105,0
2020/7/1,105,0
2020/7/2,105,0
2020/7/3,105,0
2020/7/4,105,0
2020/7/5,105,0
2020/7/6,107,0
2020/7/7,107,0
2020/7/8,107,0
2020/7/9,107,0
2020/7/10,107,0
2020/7/11,108,0
2020/7/12,109,0
2020/7/13,109,0
2020/7/14,111,0
2020/7/15,112,0
2020/7/16,114,0
2020/7/17,117,0
2020/7/18,120,0
2020/7/19,123,0
2020/7/20,124,0
2020/7/21,127,0
2020/7/22,129,0
2020/7/23,134,0
2020/7/24,141,0
2020/7/25,146,0
2020/7/26,156,0
2020/7/27,162,0
2020/7/28,168,0
2020/7/29,177,0
2020/7/30,190,0
2020/7/31,198,0
2020/8/1,202,0
2020/8/2,209,0
2020/8/3,222,0
2020/8/4,233,0
2020/8/5,248,0
