"Date","NSW","VIC","QLD","SA","WA","TAS","NT","ACT"
"25/01/20","3","1","0","0","0","0","0","0"
"26/01/20","3","1","0","0","0","0","0","0"
"27/01/20","4","1","0","0","0","0","0","0"
"28/01/20","4","1","0","0","0","0","0","0"
"29/01/20","4","3","2","0","0","0","0","0"
"30/01/20","4","3","2","0","0","0","0","0"
"31/01/20","4","3","2","0","0","0","0","0"
"01/02/20","4","4","2","0","0","0","0","0"
"02/02/20","4","4","2","2","0","0","0","0"
"03/02/20","4","4","2","2","0","0","0","0"
"04/02/20","4","4","3","2","0","0","0","0"
"05/02/20","4","4","4","2","0","0","0","0"
"06/02/20","4","4","5","2","0","0","0","0"
"07/02/20","4","4","5","2","0","0","0","0"
"08/02/20","4","4","5","2","0","0","0","0"
"09/02/20","4","4","5","2","0","0","0","0"
"10/02/20","4","4","5","2","0","0","0","0"
"11/02/20","4","4","5","2","0","0","0","0"
"12/02/20","4","4","5","2","0","0","0","0"
"13/02/20","4","4","5","2","0","0","0","0"
"14/02/20","4","4","5","2","0","0","0","0"
"15/02/20","4","4","5","2","0","0","0","0"
"16/02/20","4","4","5","2","0","0","0","0"
"17/02/20","4","4","5","2","0","0","0","0"
"18/02/20","4","4","5","2","0","0","0","0"
"19/02/20","4","4","5","2","0","0","0","0"
"20/02/20","4","4","5","2","0","0","0","0"
"21/02/20","4","4","7","3","1","0","0","0"
"22/02/20","4","4","8","3","1","0","0","0"
"23/02/20","4","4","8","3","1","0","0","0"
"24/02/20","4","4","8","3","1","0","0","0"
"25/02/20","4","4","8","3","1","0","0","0"
"26/02/20","4","4","8","3","1","0","0","0"
"27/02/20","4","7","8","3","1","0","0","0"
"28/02/20","4","7","9","3","2","0","0","0"
"29/02/20","4","7","9","3","2","0","0","0"
"01/03/20","5","9","9","3","2","0","0","0"
"02/03/20","9","9","9","3","2","0","0","0"
"03/03/20","15","9","10","3","2","1","0","0"
"04/03/20","22","10","11","5","2","1","0","0"
"05/03/20","25","10","13","7","3","1","0","0"
"06/03/20","28","10","14","7","3","1","0","0"
"07/03/20","36","11","14","7","3","2","0","0"
"08/03/20","40","12","15","7","4","2","0","0"
"09/03/20","47","15","15","7","6","2","0","0"
"10/03/20","61","18","18","7","6","2","0","0"
"11/03/20","65","21","20","9","9","3","0","0"
"12/03/20","78","27","27","12","9","3","0","1"
"13/03/20","92","36","35","16","14","4","0","1"
"14/03/20","112","49","46","19","17","5","0","1"
"15/03/20","134","57","61","20","18","6","0","1"
"16/03/20","171","71","68","29","28","7","0","2"
"17/03/20","210","94","78","32","31","7","0","2"
"18/03/20","267","121","94","37","35","10","0","3"
"19/03/20","307","150","144","42","52","10","0","4"
"20/03/20","353","178","184","50","64","10","2","6"
"21/03/20","436","229","221","67","90","16","4","9"
"22/03/20","533","296","259","100","120","21","4","19"
"23/03/20","669","355","319","134","140","27","4","32"
"24/03/20","818","411","397","170","175","35","5","39"
"25/03/20","1029","466","443","197","205","41","5","44"
"26/03/20","1219","520","493","235","231","46","12","53"
"27/03/20","1405","574","555","257","255","58","14","62"
"28/03/20","1617","685","625","287","278","62","15","71"
"29/03/20","1791","769","656","299","311","66","15","77"
"30/03/20","1918","821","689","305","355","69","15","78"
"31/03/20","2032","917","743","337","364","69","19","80"
"01/04/20","2182","968","781","367","392","71","19","84"
"02/04/20","2298","1036","835","385","400","74","22","87"
"03/04/20","2389","1085","873","396","422","80","26","91"
"04/04/20","2493","1115","900","407","436","82","26","93"
"05/04/20","2580","1135","907","409","453","86","27","96"
"06/04/20","2637","1158","921","411","460","89","27","96"
"07/04/20","2686","1191","934","415","470","98","27","97"
"08/04/20","2734","1212","943","420","481","107","27","99"
"09/04/20","2773","1228","953","421","495","111","27","100"
"10/04/20","2822","1241","965","428","506","122","27","103"
"11/04/20","2857","1265","974","429","514","133","27","103"
"12/04/20","2854","1268","983","429","517","144","27","102"
"13/04/20","2863","1281","987","431","523","150","27","103"
"14/04/20","2870","1291","998","433","527","165","27","103"
"15/04/20","3075","1299","999","433","532","169","27","103"
"16/04/20","3086","1301","1001","434","535","180","27","103"
"17/04/20","3115","1302","1007","435","541","184","27","103"
"18/04/20","3125","1319","1015","435","544","188","27","103"
"19/04/20","3146","1328","1019","435","545","197","27","103"
"20/04/20","3152","1329","1019","435","545","202","27","104"
"21/04/20","3158","1336","1024","437","546","203","27","104"
"22/04/20","3160","1336","1024","438","546","207","27","104"
"23/04/20","3165","1337","1026","438","546","207","27","104"
"24/04/20","3171","1343","1026","438","548","209","27","105"
"25/04/20","3183","1346","1026","438","549","210","27","106"
"26/04/20","3191","1349","1030","438","549","214","27","106"
"27/04/20","3193","1349","1033","438","549","216","27","106"
"28/04/20","3198","1351","1033","438","550","220","27","106"
"29/04/20","3205","1354","1034","438","551","221","27","106"
"30/04/20","3205","1361","1033","438","551","223","27","106"
"01/05/20","3215","1364","1033","438","551","223","27","106"
"02/05/20","3220","1371","1034","438","551","223","29","106"
"03/05/20","3224","1384","1035","438","551","223","29","106"
"04/05/20","3222","1406","1038","438","551","223","29","107"
"05/05/20","3224","1423","1043","438","551","225","29","107"
"06/05/20","3231","1440","1043","438","551","225","29","107"
"07/05/20","3233","1455","1045","439","551","227","29","107"
"08/05/20","3236","1469","1045","439","552","227","29","107"
"09/05/20","3240","1479","1045","439","552","227","29","107"
"10/05/20","3242","1489","1045","439","552","227","29","107"
"11/05/20","3242","1496","1045","439","552","227","29","107"
"12/05/20","3242","1509","1051","439","553","227","29","107"
"13/05/20","3248","1514","1051","439","553","227","29","107"
"14/05/20","3252","1523","1052","439","554","227","29","107"
"15/05/20","3260","1543","1054","439","554","228","29","107"
"16/05/20","3263","1554","1055","439","556","228","29","107"
"17/05/20","3264","1561","1055","439","556","228","29","107"
"18/05/20","3265","1567","1057","439","556","228","29","107"
"19/05/20","3267","1573","1057","439","556","228","29","107"
"20/05/20","3270","1580","1058","439","556","228","29","107"
"21/05/20","3271","1581","1058","439","556","228","29","107"
"22/05/20","3273","1593","1058","439","556","228","29","107"
"23/05/20","3275","1602","1060","439","556","228","29","107"
"24/05/20","3276","1603","1061","439","556","228","29","107"
"25/05/20","3279","1605","1056","439","560","228","29","107"
"26/05/20","3281","1610","1057","440","566","228","29","107"
"27/05/20","3278","1618","1058","440","566","228","29","107"
"28/05/20","3279","1628","1058","440","573","228","29","107"
"29/05/20","3281","1634","1058","440","581","228","29","107"
"30/05/20","3281","1645","1058","440","581","228","29","107"
"31/05/20","3284","1649","1058","440","584","228","29","107"
"01/06/20","3287","1653","1058","440","585","228","29","107"
"02/06/20","3293","1663","1059","440","585","228","29","107"
"03/06/20","3293","1670","1059","440","586","228","29","107"
"04/06/20","3295","1678","1060","440","586","228","29","107"
"05/06/20","3299","1681","1060","440","590","228","29","107"
"06/06/20","3299","1681","1061","440","591","228","29","107"
"07/06/20","3298","1685","1061","440","591","228","29","108"
"08/06/20","3301","1687","1062","440","591","228","29","108"
"09/06/20","3303","1687","1062","440","591","228","29","108"
"10/06/20","3306","1691","1062","440","591","228","29","108"
"11/06/20","3306","1699","1063","440","591","228","29","108"
"12/06/20","3304","1703","1064","440","592","228","29","108"
"13/06/20","3308","1711","1065","440","592","228","29","108"
"14/06/20","3317","1720","1065","440","592","228","29","108"
"15/06/20","3320","1732","1065","440","592","228","29","108"
"16/06/20","3323","1741","1065","440","592","228","29","108"
"17/06/20","3324","1762","1066","440","592","228","29","108"
"18/06/20","3326","1780","1066","440","593","228","29","108"
"19/06/20","3332","1792","1066","440","593","228","29","108"
"20/06/20","3333","1817","1066","440","593","228","29","108"
"21/06/20","3338","1836","1066","440","594","228","29","108"
"22/06/20","3340","1847","1066","440","594","228","29","108"
"23/06/20","3339","1864","1066","440","596","228","29","108"
"24/06/20","3348","1884","1066","440","596","228","29","108"
"25/06/20","3351","1917","1066","440","596","228","29","108"
"26/06/20","3357","1947","1067","440","596","228","29","108"
"27/06/20","3363","1987","1067","440","596","228","29","108"
"28/06/20","3366","2028","1067","440","597","228","29","108"
"29/06/20","3373","2099","1067","443","597","228","29","108"
"30/06/20","3378","2159","1067","443","599","228","29","108"
"01/07/20","3392","2231","1067","443","599","228","29","108"
"02/07/20","3400","2303","1067","443","599","228","30","108"
"03/07/20","3400","2368","1067","443","599","228","30","108"
"04/07/20","3405","2469","1067","443","599","228","30","108"
"05/07/20","3419","2536","1067","443","605","228","30","108"
"06/07/20","3429","2660","1067","443","608","228","30","108"
"07/07/20","3433","2824","1068","443","608","228","30","108"
"08/07/20","3440","2942","1068","443","610","228","30","111"
"09/07/20","3453","3098","1068","443","613","228","30","112"
"10/07/20","3467","3379","1068","443","616","228","31","113"
"11/07/20","3474","3560","1070","443","618","228","31","113"
"12/07/20","3478","3799","1070","443","619","228","31","113"
