date,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,First doses,Second doses,First dose daily,Second dose daily,Third dose daily
2021/2/21,20,0,0,0,0,0,0,0,20,0,20,0,0
2021/2/22,1320,0,0,0,378,0,88,50,1836,0,1816,0,0
2021/2/23,1320,580,203,168,378,0,88,50,2787,0,951,0,0
2021/2/24,3220,1255,527,403,800,383,88,250,6926,0,4139,0,0
2021/2/25,5500,2063,942,743,1240,807,88,524,16622,0,9696,0,0
2021/2/26,7500,2894,1377,1053,1654,1153,581,777,23489,0,6867,0,0
2021/2/27,7500,3613,2030,1371,2299,1153,581,980,27627,0,4138,0,0
2021/2/28,7500,3762,2030,1481,2584,1153,581,980,29571,0,1944,0,0
2021/3/1,10339,3862,2030,1630,2879,1165,748,978,33702,0,4131,0,0
2021/3/2,12424,5020,3010,1920,2862,1165,1000,1173,41922,0,8220,0,0
2021/3/3,15000,6676,4212,2326,3519,1165,1000,1319,48565,0,6643,0,0
2021/3/4,16805,8645,5409,2682,4346,1970,1588,1563,61008,0,12443,0,0
2021/3/5,19027,10907,6534,3062,5546,2327,1840,1757,71000,0,9992,0,0
2021/3/6,19027,12851,8008,3455,6616,2327,1840,1949,76073,0,5073,0,0
2021/3/7,19027,13578,8300,3585,6872,2327,1840,1949,81000,0,4927,0,0
2021/3/8,21763,14422,8300,3705,7840,2327,2066,1951,86369,0,5369,0,0
2021/3/9,23923,15494,10092,3824,9289,2327,2349,2157,94908,0,8539,0,0
2021/3/10,27000,18325,11996,4274,11373,2713,2684,2382,106200,0,11292,0,0
2021/3/11,31313,22317,13989,4871,13498,3255,3070,2687,125000,0,18800,0,0
2021/3/12,31313,25948,16120,5822,15952,3667,3262,3025,135109,0,10109,0,0
2021/3/13,36820,30298,18411,6878,17748,3667,3519,3667,159942,0,24833,0,0
2021/3/14,36820,31202,18705,7124,18391,3667,3519,3363,162551,0,2609,0,0
2021/3/15,37553,31808,18705,7272,18948,3853,3519,3363,164781,0,2230,0,0
2021/3/16,37553,35282,21861,8300,20550,4616,3715,3869,178546,0,13765,0,0
2021/3/17,46820,38948,25173,9831,22944,5765,4096,4373,203557,0,25011,0,0
2021/3/18,51607,42989,28533,11362,25503,6715,4473,4875,225851,206,22294,206,0
2021/3/19,51607,47731,32527,12961,28134,7631,4784,5379,240414,340,14563,134,0
2021/3/20,51607,52283,36704,14051,30571,7631,5083,5901,253364,467,12950,127,0
2021/3/21,51607,53681,37002,14365,31512,7631,5083,5901,256315,467,2951,0,0
2021/3/22,64650,55023,37002,14916,32115,8267,5083,6536,281483,467,25168,0,0
2021/3/23,72943,59509,40870,16949,34877,8843,5371,7251,311619,606,30136,139,0
2021/3/24,72943,63894,45068,17751,36690,9854,5679,7513,357693,807,46074,201,0
2021/3/25,72943,69592,49462,19255,39259,11007,6186,8035,404756,3654,47063,2847,0
2021/3/26,89196,75626,53893,20832,41665,11728,6578,8563,455457,4698,50701,1044,0
2021/3/27,89196,80698,58439,22272,44047,11728,6578,9096,468849,5279,13392,581,0
2021/3/28,89196,84210,58930,22497,44542,11728,6578,9429,501645,5355,32796,76,0
2021/3/29,96273,86282,59126,22787,45091,13091,7027,9746,536063,5698,34418,343,0
2021/3/30,96273,92765,65129,24145,47701,13750,7364,10281,607267,6716,71204,1018,0
2021/3/31,100000,99065,71942,25535,50731,13750,7789,10819,662198,8153,54931,1437,0
2021/4/1,117389,107522,79534,27023,53482,15077,8277,11361,735061,9269,72863,1116,0
2021/4/2,124345,115077,87220,28337,56337,15077,8277,11361,813304,10309,78243,1040,0
2021/4/3,125195,115987,88248,28614,56649,15077,8277,12430,817574,10485,4270,176,0
2021/4/4,126494,116234,88282,28759,56872,17511,8647,12778,832570,10612,14996,127,0
2021/4/5,126526,116677,88282,28933,57018,17511,8717,13110,833640,10739,1070,127,0
2021/4/6,127339,117700,89350,29355,57464,17511,9028,13774,844518,10776,10878,37,0
2021/4/7,134323,123759,94762,30735,59765,17511,9600,14445,908999,11646,64481,870,0
2021/4/8,140551,129537,100298,32635,62297,19903,9600,15134,983201,13255,74202,1609,0
2021/4/9,316187,261050,222884,80497,113531,40196,14117,29049,1063376,14135,80175,880,0
2021/4/10,335270,274306,235734,86580,118673,42988,14966,30349,1079114,59752,15738,45617,0
2021/4/11,342315,281714,240995,88589,121718,44886,15000,31351,1104784,61784,25670,2032,0
2021/4/12,344318,285242,243254,89762,122772,45555,15026,32373,1115127,63175,10343,1391,0
2021/4/13,348677,288720,246359,91312,124521,46442,15026,32974,1170715,63966,55588,791,0
2021/4/14,382687,312718,266103,99037,134000,49681,16478,34968,1226703,68969,55988,5003,0
2021/4/15,403138,327299,279116,105120,139686,51454,17197,36295,1287596,71709,60893,2740,0
2021/4/16,422480,341481,291966,110105,145210,54085,17812,37438,1345277,75300,57681,3591,0
2021/4/17,440396,354490,302123,114532,150295,55655,18560,38486,1396568,77969,51291,2669,0
2021/4/18,447239,359773,305403,116268,152938,56765,18607,39615,1417750,78858,21182,889,0
2021/4/19,468824,378550,340250,119102,163999,56800,18744,39983,1506305,79947,88555,1089,0
2021/4/20,488757,395255,353927,124380,171221,58706,19324,41716,1569945,83341,63640,3394,0
2021/4/21,509499,410329,367092,129219,177991,60820,19978,43179,1629357,88750,59412,5409,0
2021/4/22,530891,427266,380702,134182,184432,63004,20827,44394,1692653,93045,63296,4295,0
2021/4/23,550342,446451,396676,139034,190610,65305,21741,45442,1759152,96449,66499,3404,0
2021/4/24,568181,459846,409564,143378,197179,66721,22391,46787,1815809,98238,56657,1789,0
2021/4/25,573892,466222,412925,144254,199233,67462,22398,47701,1834287,99800,18478,1562,0
