Date,Actual 1st doses,Actual 2nd doses,Actual Boosters,70%>16s,80%>16s
2021/6/1,0.1783,0.0333,0.0000,0.7000,0.8000
2021/6/2,0.1846,0.0337,0.0000,0.7000,0.8000
2021/6/3,0.1911,0.0341,0.0000,0.7000,0.8000
2021/6/4,0.1977,0.0344,0.0000,0.7000,0.8000
2021/6/5,0.2043,0.0346,0.0000,0.7000,0.8000
2021/6/6,0.2086,0.0346,0.0000,0.7000,0.8000
2021/6/7,0.2074,0.0387,0.0000,0.7000,0.8000
2021/6/8,0.2133,0.0391,0.0000,0.7000,0.8000
2021/6/9,0.2197,0.0395,0.0000,0.7000,0.8000
2021/6/10,0.2264,0.0397,0.0000,0.7000,0.8000
2021/6/11,0.2336,0.0400,0.0000,0.7000,0.8000
2021/6/12,0.2397,0.0403,0.0000,0.7000,0.8000
2021/6/13,0.2427,0.0403,0.0000,0.7000,0.8000
2021/6/14,0.2443,0.0403,0.0000,0.7000,0.8000
2021/6/15,0.2411,0.0466,0.0000,0.7000,0.8000
2021/6/16,0.2481,0.0469,0.0000,0.7000,0.8000
2021/6/17,0.2545,0.0471,0.0000,0.7000,0.8000
2021/6/18,0.2610,0.0475,0.0000,0.7000,0.8000
2021/6/19,0.2672,0.0476,0.0000,0.7000,0.8000
2021/6/20,0.2703,0.0476,0.0000,0.7000,0.8000
2021/6/21,0.2578,0.0619,0.0000,0.7000,0.8000
2021/6/22,0.2637,0.0622,0.0000,0.7000,0.8000
2021/6/23,0.2705,0.0622,0.0000,0.7000,0.8000
2021/6/24,0.2770,0.0624,0.0000,0.7000,0.8000
2021/6/25,0.2836,0.0625,0.0000,0.7000,0.8000
2021/6/26,0.2894,0.0626,0.0000,0.7000,0.8000
2021/6/27,0.2927,0.0626,0.0000,0.7000,0.8000
2021/6/28,0.2777,0.0800,0.0000,0.7000,0.8000
2021/6/29,0.2825,0.0813,0.0000,0.7000,0.8000
2021/6/30,0.2890,0.0818,0.0000,0.7000,0.8000
2021/7/1,0.2963,0.0792,0.0000,0.7000,0.8000
2021/7/2,0.3007,0.0837,0.0000,0.7000,0.8000
2021/7/3,0.3043,0.0877,0.0000,0.7000,0.8000
2021/7/4,0.3065,0.0900,0.0000,0.7000,0.8000
2021/7/5,0.3065,0.0900,0.0000,0.7000,0.8000
2021/7/6,0.3065,0.0900,0.0000,0.7000,0.8000
2021/7/7,0.3065,0.0900,0.0000,0.7000,0.8000
2021/7/8,0.3065,0.0900,0.0000,0.7000,0.8000
2021/7/9,0.3223,0.1057,0.0000,0.7000,0.8000
2021/7/10,0.3257,0.1093,0.0000,0.7000,0.8000
2021/7/11,0.3281,0.1117,0.0000,0.7000,0.8000
2021/7/12,0.3297,0.1128,0.0000,0.7000,0.8000
2021/7/13,0.3331,0.1164,0.0000,0.7000,0.8000
2021/7/14,0.3370,0.1207,0.0000,0.7000,0.8000
2021/7/15,0.3409,0.1250,0.0000,0.7000,0.8000
2021/7/16,0.3487,0.1335,0.0000,0.7000,0.8000
2021/7/17,0.3487,0.1335,0.0000,0.7000,0.8000
2021/7/18,0.3513,0.1359,0.0000,0.7000,0.8000
2021/7/19,0.3528,0.1371,0.0000,0.7000,0.8000
2021/7/20,0.3571,0.1409,0.0000,0.7000,0.8000
2021/7/21,0.3612,0.1452,0.0000,0.7000,0.8000
2021/7/22,0.3661,0.1498,0.0000,0.7000,0.8000
2021/7/23,0.3707,0.1544,0.0000,0.7000,0.8000
2021/7/24,0.3753,0.1587,0.0000,0.7000,0.8000
2021/7/25,0.3784,0.1613,0.0000,0.7000,0.8000
2021/7/26,0.3802,0.1629,0.0000,0.7000,0.8000
2021/7/27,0.3848,0.1670,0.0000,0.7000,0.8000
2021/7/28,0.3892,0.1719,0.0000,0.7000,0.8000
2021/7/29,0.3946,0.1773,0.0000,0.7000,0.8000
2021/7/30,0.3995,0.1824,0.0000,0.7000,0.8000
2021/7/31,0.4047,0.1875,0.0000,0.7000,0.8000
2021/8/1,0.4077,0.1904,0.0000,0.7000,0.8000
2021/8/2,0.4096,0.1923,0.0000,0.7000,0.8000
2021/8/3,0.4140,0.1970,0.0000,0.7000,0.8000
2021/8/4,0.4192,0.2024,0.0000,0.7000,0.8000
2021/8/5,0.4244,0.2080,0.0000,0.7000,0.8000
2021/8/6,0.4303,0.2138,0.0000,0.7000,0.8000
