"Date","NSW","VIC","QLD","SA","WA","TAS","NT","ACT"
"14/10/21","508","945","7","4","9","13","0","10"
"15/10/21","512","951","7","4","9","13","0","11"
"16/10/21","514","957","7","4","9","13","0","11"
"17/10/21","524","963","7","4","9","13","0","11"
"18/10/21","529","970","7","4","9","13","0","11"
"19/10/21","533","981","7","4","9","13","0","11"
"20/10/21","540","993","7","4","9","13","0","11"
"21/10/21","541","1005","7","4","9","13","0","11"
"22/10/21","546","1021","7","4","9","13","0","11"
"23/10/21","548","1030","7","4","9","13","0","11"
"24/10/21","552","1041","7","4","9","13","0","11"
"25/10/21","556","1048","7","4","9","13","0","11"
"26/10/21","557","1052","7","4","9","13","0","11"
"27/10/21","560","1065","7","4","9","13","0","11"
"28/10/21","562","1090","7","4","9","13","0","11"
"29/10/21","564","1100","7","4","9","13","0","11"
"30/10/21","567","1111","7","4","9","13","0","11"
"31/10/21","568","1122","7","4","9","13","0","11"
"01/11/21","572","1126","7","4","9","13","0","13"
"02/11/21","576","1135","7","4","9","13","0","13"
"03/11/21","580","1143","7","4","9","13","0","13"
"04/11/21","584","1152","7","4","9","13","0","13"
"05/11/21","587","1162","7","4","9","13","0","14"
"06/11/21","590","1169","7","4","9","13","0","14"
"07/11/21","591","1178","7","4","9","13","0","14"
"08/11/21","598","1183","7","4","9","13","0","14"
"09/11/21","602","1193","7","4","9","13","0","14"
"10/11/21","605","1207","7","4","9","13","0","14"
"11/11/21","606","1211","7","4","9","13","0","14"
"12/11/21","608","1220","7","4","9","13","0","14"
"13/11/21","608","1224","7","4","9","13","0","14"
"14/11/21","609","1228","7","4","9","13","0","14"
"15/11/21","610","1233","7","4","9","13","0","14"
"16/11/21","612","1241","7","4","9","13","0","14"
"17/11/21","612","1250","7","4","9","13","0","14"
"18/11/21","615","1260","7","4","9","13","0","14"
"19/11/21","618","1268","7","4","9","13","0","14"
"20/11/21","618","1273","7","4","9","13","0","14"
"21/11/21","620","1277","7","4","9","13","0","14"
"22/11/21","621","1280","7","4","9","13","0","14"
"23/11/21","623","1298","7","4","9","13","0","14"
"24/11/21","625","1301","7","4","9","13","0","14"
"25/11/21","625","1306","7","4","9","13","0","14"
"26/11/21","625","1313","7","4","9","13","0","14"
"27/11/21","625","1318","7","4","9","13","0","14"
"28/11/21","625","1322","7","4","9","13","0","14"
"29/11/21","625","1325","7","4","9","13","0","14"
"30/11/21","628","1331","7","4","9","13","0","14"
"01/12/21","628","1336","7","4","9","13","0","14"
"02/12/21","628","1346","7","4","9","13","0","14"
"03/12/21","628","1357","7","4","9","13","1","14"
"04/12/21","629","1366","7","4","9","13","1","14"
"05/12/21","630","1373","7","4","9","13","1","14"
"06/12/21","630","1378","7","4","9","13","1","14"
"07/12/21","632","1385","7","4","9","13","1","14"
"08/12/21","633","1390","7","4","9","13","1","15"
"09/12/21","634","1399","7","4","9","13","1","15"
"10/12/21","634","1401","7","4","9","13","1","15"
"11/12/21","637","1414","7","4","9","13","1","15"
"12/12/21","639","1416","7","4","9","13","1","15"
"13/12/21","639","1418","7","4","9","13","1","15"
"14/12/21","640","1424","7","4","9","13","1","15"
"15/12/21","641","1427","7","4","9","13","1","15"
"16/12/21","641","1436","7","4","9","13","1","15"
"17/12/21","642","1443","7","4","9","13","1","15"
"18/12/21","643","1450","7","4","9","13","1","15"
"19/12/21","643","1454","7","4","9","13","1","15"
"20/12/21","643","1454","7","4","9","13","1","15"
"21/12/21","645","1460","7","4","9","13","1","15"
"22/12/21","647","1466","7","4","9","13","1","15"
"23/12/21","648","1476","7","4","9","13","1","15"
"24/12/21","649","1484","7","4","9","13","1","15"
"25/12/21","649","1490","7","4","9","13","1","15"
